160826_NB501015_0158_AH7VCFBGXY,TANGO-483,2016-08-26,Shilatifard,0,0
160826_NS500577_0235_AHC7CNBGXY,TANGO-488,2016-08-26,Shilatifard,0,0
160829_NB501015_0159_AH7V7WBGXY,TANGO-467,2016-08-29,Shilatifard,1,0
160829_NB501015_0159_AH7V7WBGXY,TANGO-482,2016-08-29,Shilatifard,1,0
160829_NS500577_0236_AHF5WTBGXY,TANGO-489,2016-08-29,Shilatifard,0,0
160830_NB501015_0160_AHC3HLBGXY,TANGO-485,2016-08-30,Shilatifard,0,0
160830_NS500577_0237_AHFC5NBGXY,TANGO-495,2016-08-30,Shilatifard,0,0
160831_NB501015_0161_AHC3GJBGXY,TANGO-491,2016-08-31,Shilatifard,0,0
160831_NS500577_0238_AHF5YGBGXY,TANGO-492,2016-08-31,Shilatifard,0,0
160902_NB501015_0162_AHFFGWBGXY,TANGO-493,2016-09-02,Shilatifard,0,0
160902_NS500577_0239_AHFFGTBGXY,TANGO-496,2016-09-02,Shilatifard,0,0
160906_NB501015_0163_AHFJFGBGXY,TANGO-494,2016-09-06,Shilatifard,1,0
160906_NB501015_0163_AHFJFGBGXY,TANGO-500,2016-09-06,Shilatifard,1,0
160906_NS500577_0240_AH7V2VBGXY,TANGO-502,2016-09-06,Shilatifard,1,0
160906_NS500577_0240_AH7V2VBGXY,TANGO-503,2016-09-06,Shilatifard,1,0
160907_NB501015_0164_AHF53JBGXY,TANGO-497,2016-09-07,Shilatifard,0,0
160907_NS500577_0241_AHFGF5BGXY,TANGO-499,2016-09-07,Shilatifard,0,0
160908_NB501015_0165_AHL23KBGXY,PLDI-014,2016-09-08,Panos,0,0
160909_NB501015_0166_AHC7H7BGXY,TANGO-498,2016-09-09,Shilatifard,0,0
160909_NS500577_0242_AHF7KHBGXY,TANGO-501,2016-09-09,Shilatifard,0,0
160913_NB501015_0167_AHCYFWBGXY,TANGO-504,2016-09-13,Shilatifard,1,0
160913_NB501015_0167_AHCYFWBGXY,TANGO-506,2016-09-13,Shilatifard,1,0
160913_NS500577_0243_AHCYFVBGXY,TANGO-505,2016-09-13,Shilatifard,0,0
160914_NB501015_0168_AHFJLVBGXY,TANGO-513,2016-09-14,Shilatifard,0,0
160914_NS500577_0244_AHF5MGBGXY,TANGO-514,2016-09-14,Shilatifard,0,0
160915_NS500577_0245_AHF3KNBGXY,TANGO-507,2016-09-15,Shilatifard,0,0
160916_NB501015_0169_AHFF55BGXY,TANGO-509,2016-09-16,Shilatifard,0,0
160916_NS500577_0246_AHC7K5BGXY,TANGO-516,2016-09-16,Shilatifard,0,1
160919_NS500577_0247_AHCH2JBGXY,PLDI-015,2016-09-19,Panos,0,0
160920_NB501015_0170_AH7TNLBGXY,TANGO-508,2016-09-20,Shilatifard,1,0
160920_NB501015_0170_AH7TNLBGXY,TANGO-516,2016-09-20,Shilatifard,1,1
160920_NS500577_0248_AHC7GJBGXY,TANGO-518,2016-09-20,Shilatifard,1,0
160920_NS500577_0248_AHC7GJBGXY,TANGO-519,2016-09-20,Shilatifard,1,0
160921_NB501015_0171_AHJCHTBGXY,TANGO-510,2016-09-21,Shilatifard,0,0
160921_NS500577_0249_AHC72CBGXY,TANGO-511,2016-09-21,Shilatifard,0,0
160926_NB501015_0172_AHJLWYBGXY,TANGO-512,2016-09-26,Shilatifard,0,0
160926_NS500577_0250_AHJCJ3BGXY,TANGO-515,2016-09-26,Shilatifard,0,0
160928_NB501015_0173_AHJN5LBGXY,TANGO-517,2016-09-28,Shilatifard,0,0
161003_NB501015_0174_AHJH5TBGXY,TANGO-520,2016-10-03,Shilatifard,1,0
161003_NB501015_0174_AHJH5TBGXY,TANGO-524,2016-10-03,Shilatifard,1,0
161004_NB501015_0175_AHJGVCBGXY,TANGO-523,2016-10-04,Shilatifard,0,0
161006_NB501015_0176_AHVKVFBGXY,TANGO-532,2016-10-06,Shilatifard,1,0
161006_NB501015_0176_AHVKVFBGXY,TANGO-533,2016-10-06,Shilatifard,1,0
161007_NB501015_0177_AHJKJMBGXY,TANGO-521,2016-10-07,Shilatifard,1,0
161007_NB501015_0177_AHJKJMBGXY,TANGO-528,2016-10-07,Shilatifard,1,0
161007_NB501015_0177_AHJKJMBGXY,TANGO-534,2016-10-07,Shilatifard,1,0
161008_NB501015_0178_AHJJ22BGXY,TANGO-522,2016-10-08,Shilatifard,1,0
161008_NB501015_0178_AHJJ22BGXY,TANGO-530,2016-10-08,Shilatifard,1,0
161010_NB501015_0179_AH7V7VBGXY,TANGO-527,2016-10-10,Shilatifard,1,0
161010_NB501015_0179_AH7V7VBGXY,TANGO-531,2016-10-10,Shilatifard,1,0
161011_NB501015_0180_AHJK2MBGXY,TANGO-525,2016-10-11,Shilatifard,0,0
161012_NS500577_0251_AHVN3YBGXY,TANGO-526,2016-10-12,Shilatifard,0,0
161014_NB501015_0181_AHJK2WBGXY,TANGO-535,2016-10-14,Shilatifard,0,0
161014_NS500577_0252_AHJCHNBGXY,TANGO-543,2016-10-14,Shilatifard,0,0
161017_NB501015_0182_AHCVY2BGXY,PLDI-016,2016-10-17,Panos,0,0
161017_NS500577_0253_AHCGTKBGXY,PLDI-017,2016-10-17,Panos,0,0
161018_NB501015_0183_AHJ7VHBGXY,TANGO-536,2016-10-18,Shilatifard,1,0
161018_NB501015_0183_AHJ7VHBGXY,TANGO-537,2016-10-18,Shilatifard,1,0
161018_NS500577_0254_AHJNT2BGXY,TANGO-549,2016-10-18,Shilatifard,0,0
161020_NB501015_0184_AHJN5JBGXY,TANGO-540,2016-10-20,Shilatifard,0,0
161020_NS500577_0255_AHJ5Y3BGXY,TANGO-541,2016-10-20,Shilatifard,0,0
161021_NB501015_0185_AHJGMMBGXY,TANGO-538,2016-10-21,Shilatifard,0,0
